Batch ID,Batch Name,Day,S1,S2,S3,S4,S5,S6,S7,S8,S9
9,btech-ME-2-B,Mon,[T] Engineering Mechanics (HbM),"[L:130] Practice for Manufacturing(Gr-1) (AnP,PrS)","[L:130] Practice for Manufacturing(Gr-1) (AnP,PrS)","[L:130] Practice for Manufacturing(Gr-1) (AnP,PrS)",--- LUNCH ---,,,,
9,btech-ME-2-B,Tue,[T] Thermodynamics (SkD),[T] Matematics-III (DG),[T] Engineering Mechanics (HbM),[T] Manufacturing Process (DD),--- LUNCH ---,[T] Basic Electronics Engineering (SrC),,,
9,btech-ME-2-B,Wed,[T] Biology  (Guest),[T] Engineering Mechanics (HbM),[T] Manufacturing Process (DD),[T] Thermodynamics (SkD),--- LUNCH ---,[T] Matematics-III (DG),,,
9,btech-ME-2-B,Thu,[T] Manufacturing Process (DD),[T] Basic Electronics Engineering (SrC),[T] Biology  (Guest),[T] Matematics-III (DG),--- LUNCH ---,[T] Thermodynamics (SkD),,,
9,btech-ME-2-B,Fri,[T] Matematics-III (DG),[T] Biology  (Guest),[T] Basic Electronics Engineering (SrC),[T] Engineering Mechanics (HbM),--- LUNCH ---,[T] Manufacturing Process (DD),[T] Thermodynamics (SkD),,

10,btech-CEE-2-A,Mon,[T] Values & Ethics in Profession (AS),[T] Chemistry II (SN),[T] Surveying (PY),[T] Building Material & Construction (HS),--- LUNCH ---,[L:144] Enviromental Engineering Lab (KP),[L:144] Enviromental Engineering Lab (KP),[L:144] Enviromental Engineering Lab (KP),
10,btech-CEE-2-A,Tue,,[T] Thermodynamics & kinetics (SC),[T] Basic Env Engg and Ele Bio (KP),[T] Surveying (PY),--- LUNCH ---,[T] Chemistry II (SN),[T] Building Material & Construction (HS),,
10,btech-CEE-2-A,Wed,[T] Basic Env Engg and Ele Bio (KP),[T] Building Material & Construction (HS),[T] Chemistry II (SN),[T] Values & Ethics in Profession (AS),--- LUNCH ---,[L:128] Surveying Practice I (HS),[L:128] Surveying Practice I (HS),[L:128] Surveying Practice I (HS),
10,btech-CEE-2-A,Thu,[T] Chemistry II (SN),[T] Surveying (PY),[T] Building Material & Construction (HS),[T] Thermodynamics & kinetics (SC),--- LUNCH ---,[L:113] Chemistry II Lab (SSD),[L:113] Chemistry II Lab (SSD),[L:113] Chemistry II Lab (SSD),
